crop,stream,product,what_it_is,value_density,india_status,market_size,viability,govt_fit,verification,source_url,vintage
rice,bran,gamma_oryzanol,Ferulic-acid esters + sterols from RBO; nutraceutical/cosmetic anti-oxidant,High (part of USD 2.6-4.4 bn global market; RBO is 68% of feedstock),India world's #1 RBO producer but oryzanol largely un-isolated; India market only ~USD 6.5 mn,Niche high-value,Commercial (needs brand/export),reported,https://www.grandviewresearch.com/industry-analysis/gamma-oryzanol-market,2025
rice,bran,tocotrienols_TRF,Tocotrienol-rich fraction (vitamin E) from rice bran / DD,USD 150-300/kg (~Rs 12500-25000/kg),India imports 60-70% of natural vit-E; domestic tocopherol output only ~150-200 t (30-40% of use),Global vit-E large; TRF high-margin low-volume,Niche high-value,Commercial/export,reported,https://industry-experts.com/verticals/healthcare-and-pharma/natural-source-vitamin-e-tocopherols-and-tocotrienols-an-indian-market-overview,2026
rice,bran,tocopherol_vitaminE,d-alpha / mixed tocopherols (vitamin E) from deodorizer distillate,USD 12-18/kg concentrate; USD 55-110/kg finished (~Rs 4500-9000/kg),India net importer; DD feedstock (Rs 45-75/kg) domestic and under-exploited,Mid-high value,Commercial + captive (food fortification input),reported,https://www.indexbox.io/store/india-natural-vitamin-e-product-market-analysis-forecast-size-trends-and-insights/,2026
rice,bran,rice_bran_wax,Hard vegetable wax from RBO refining; carnauba substitute for cosmetics/polish,Unpurified Rs 20-35/kg; purified Rs 80-350/kg,India potential ~20000 t; current unpurified ~10000 t,Niche-to-mid; scalable within RBO refining,Commercial,reported,https://cftri.res.in/technologies/CONP/pwr.pdf,2024
rice,bran,ferulic_acid,Phenolic antioxidant from rice/wheat bran; cosmetics/pharma,Standard Rs 450-1000/kg; cosmetic-grade up to Rs 15550/kg,India has abundant bran feedstock; Asia-Pacific 43% of global supply,Niche high-value,Commercial/export,reported,https://www.precedenceresearch.com/ferulic-acid-market,2025
rice,bran,phytosterols,Plant sterols (beta-sitosterol etc.) cholesterol-lowering functional ingredient,Part of USD 1.1 bn global market; premium ingredient,India largely imports; extracted from DD/vegetable-oil streams,Niche high-value,Commercial,reported,https://www.gminsights.com/industry-analysis/phytosterols-market,2025
rice,bran,rice_bran_protein,Hypoallergenic bran protein concentrate/isolate,Isolate USD 8-14/kg (~Rs 330-450/kg); concentrate USD 5-8/kg,India domestic Rs 230-450/kg; infant-formula segment growing 15-20%/yr,Mid-high; niche premium,Commercial,reported,https://www.indexbox.io/store/india-organic-rice-protein-market-analysis-forecast-size-trends-and-insights/,2026
rice,bran,DORB_defatted_bran,De-oiled rice bran; feed/dietary fibre after oil extraction,Rs 9-15/kg (Rs 13000-15000/t),Large feed stream; export was banned to Sep-2025 then reopened Oct-2025,Mass commodity,Commercial (feed self-sufficiency),verified,https://www.indiamart.com/proddetail/de-oiled-rice-bran-dorb-6146265530.html,2025
rice,husk,precipitated_silica_RHA,High-purity precipitated silica (98-99%+) from rice husk ash; tyre/solar/semiconductor,Raw RHA Rs 1-3.5/kg -> precipitated silica many-x higher (global mkt ~USD 980 mn by 2027),India burns/dumps most husk; high-purity silica largely imported,Scalable (tyre 45% of demand),Commercial + industrial policy,reported,https://pmarketresearch.com/chemi/rice-husk-ash-precipitated-silica-market/,2027
rice,husk,activated_carbon_biochar,Activated carbon / biochar from carbonised husk; water treatment / soil / carbon credits,Biochar retail ~Rs 7/kg; carbon-removal credit ~USD 177/t CO2e,>30 mn t husk/yr in India; RHA market ~USD 2.9 bn global,Mass-to-mid; scalable,Commercial,reported,https://www.entrepreneurindia.co/blogs/rice-husk-based-products-business/,2025
